,id,date,like_count,view_count,comment_count,sentiment,positive_count,negative_count,neutral_count,avg_anger_per,avg_fear_per,avg_trust_per,avg_surprise_per,avg_positive_per,avg_negative_per,avg_sadness_per,avg_disgust_per,avg_joy_per,avg_anticipation_per
0,cU2dZz18P0c,2010-08-15T15:59:08Z,11820,831052,2306,0.11495719696969697,82,33,149,0.0027802208424217993,0.02289269243515655,0.0546551108602544,0.023094208201863704,0.10716956101226435,0.06299932955136305,0.008215209830042366,0.00835500059483313,0.03884998020763571,0.07250383797931645
1,b3TRUDKpoAs,2010-08-16T14:31:44Z,3218,262177,446,0.06897173913043479,99,61,116,0.02496352239200329,0.03284511603907603,0.12060352427545577,0.032058815719060024,0.20132070297844082,0.097413879409049,0.01587102574755652,0.028810160332794564,0.04984255018386267,0.0774301232125564
2,U2g1H5wPmUE,2011-01-07T10:53:55Z,6680,294512,905,0.2501060931899642,134,26,119,0.010974603265874613,0.026706784266872816,0.06619587688531395,0.029570262883039607,0.19562232804326415,0.030084197375468722,0.01515205312643643,0.008687318198703397,0.06327798633301479,0.12003683334961006
3,JUJPyQtoB5E,2011-01-28T01:09:53Z,3336,274166,165,0.22935892857142856,58,10,44,0.010799319727891155,0.02224544474108934,0.053415784273798214,0.02098030453866691,0.3413288402944326,0.1032468475194956,0.02224157955865273,0.0021414053426248546,0.03733846365597237,0.08269058177594764
4,2xKZRpAsWL8,2011-02-02T06:10:11Z,7007,542793,281,0.16380681818181816,61,23,48,0.016331558813810335,0.028098752794644802,0.07879009924637345,0.03798764475908973,0.19555466768928317,0.11890433194752274,0.026309552605325,0.014304750746757017,0.03750474559198003,0.09015328974460766
5,WwmJ5nMmigQ,2011-02-02T15:21:32Z,7398,534064,839,0.13838020833333334,102,33,153,0.01762710187189354,0.011913415934555641,0.09596896102717181,0.034942201838647914,0.1323222855009007,0.0727488175404842,0.012128727753727754,0.0077836274450857786,0.048970277294419454,0.06212236157089098
6,DBjZz0iQrzI,2011-02-02T17:19:07Z,5391,232576,477,0.2630026936026936,162,75,60,0.014353893394297434,0.02005477933175966,0.06162582369907336,0.014646721195619794,0.16007718041759833,0.04664506206557151,0.026918816312755705,0.019561732693045824,0.07209569841784436,0.055602784054925615
7,-vomqiURUgA,2011-02-04T00:16:02Z,1503,91550,176,0.16591949152542373,52,21,45,0.011555323207865582,0.022440389177677312,0.10358985411951514,0.03486359450342501,0.15776927874385502,0.08355874351637063,0.032085475729543525,0.016027710519235943,0.05048733046614402,0.07236806272823222
8,_Z0X0yE8Ioc,2011-02-07T17:13:23Z,11812,1150909,1533,0.11893065693430659,110,41,123,0.10298834249416093,0.07167175180056169,0.10072997163916911,0.039430179037120004,0.17514376550978317,0.1018410461583772,0.03789647906796095,0.03183818169686839,0.04545065241973268,0.07403152798648485
9,7LGi-Dlb8Vs,2011-02-09T10:38:01Z,10258,642293,427,0.12932533783783784,113,50,133,0.025049442203079975,0.02466724823535969,0.054288806349564865,0.02672480484980485,0.1398361566414972,0.10527377226293635,0.014760964393317335,0.013162200130079387,0.03241564179064179,0.08071285503561046
10,u7KpH9_I2Dw,2011-02-13T03:01:06Z,4775,259539,332,0.36318015564202333,167,23,67,0.025533927597538676,0.02379390367852643,0.08718555343861707,0.015691256775201733,0.21961538076928536,0.05774906779445237,0.02831541385461173,0.026116380721726458,0.06894172136107621,0.04627918389223245
11,Bz9D6xba9Og,2011-02-17T15:24:41Z,23519,2348864,1972,0.0904985559566787,95,48,134,0.010696660123326679,0.011855864426091016,0.10059360339143121,0.027889541457668428,0.15992785371413584,0.12158733954599528,0.0220872154157935,0.014834789326264617,0.056713308246766334,0.09114234420812274
12,GmlMV7bA0TM,2011-02-18T02:52:19Z,5087,775717,963,0.05024878048780488,73,51,163,0.13889062101502236,0.1541929110776159,0.08741700305628607,0.015014809936033992,0.13593630752266184,0.18838611396872576,0.026923621539967548,0.011150228588874248,0.022401797330114083,0.03501759641765988
13,aJc4DEkSq4I,2011-02-18T21:47:07Z,4517,519930,705,0.08113859649122808,91,58,136,0.1285055130957835,0.12589394567609424,0.07626926929499975,0.019370049844946866,0.11486963521086771,0.17979541257291717,0.0185724195426726,0.012100821538566859,0.02717347279711124,0.03429156568919794
14,zN6kCa6xi9k,2011-02-22T01:57:46Z,1875,232316,315,0.14132587719298245,100,44,84,0.0362862050337863,0.034540577223917006,0.12981993598909947,0.03829783144136656,0.19678145323831836,0.11201175889414239,0.03118650051215841,0.01340343102388381,0.052454755188557335,0.10960351636705108
15,mezkHBPLZ4A,2011-02-22T14:02:42Z,3380,347895,713,0.23100847457627116,157,42,96,0.04695188526560814,0.047444970418527785,0.11388105883926043,0.02965581049547725,0.19556144402940845,0.12226563959506159,0.025948737671752126,0.02363701978766809,0.028540438981724467,0.07797740169517269
16,8bTdMmNZm2M,2011-02-25T10:57:23Z,37118,1718249,4656,0.21367655172413794,143,42,105,0.036114091954403224,0.043883901797715785,0.12560585805137678,0.040869540315386275,0.14387182046239513,0.07824775569639593,0.01661046841603235,0.014413090951145452,0.05270642814672271,0.082159802829116
17,SN1Q5ru2fI0,2011-02-28T07:15:53Z,3065,149812,236,0.21909316770186335,80,27,54,0.02232690638918544,0.028203282303079318,0.12314017044853236,0.019163114453413,0.22954078722778784,0.0955467700938557,0.025969644707148225,0.015080887758157272,0.04704035507991809,0.08964025545196622
