,id,date
111,649iUqrOKuE,2012-10-17T14:00:30Z
112,BickMFHAZR0,2012-10-30T13:00:52Z
113,NqdOyxJZj0U,2012-11-06T15:52:29Z
114,uWEp_4fHX4Y,2012-11-18T15:00:12Z
115,6wr_Zw1uGY8,2012-11-26T15:00:20Z
116,oPerfpxYJ1U,2012-12-04T13:30:12Z
117,WMXhk_SATTc,2012-12-17T12:30:11Z
118,a8FTr2qMutA,2013-01-14T13:00:43Z
119,x4I9mmd-2Rc,2013-01-21T21:14:32Z
120,myh94hpFmJY,2013-02-06T13:30:49Z
121,5THOUSvpCKk,2013-02-11T06:09:19Z
122,Iuv6hY6zsd0,2013-02-19T17:07:14Z
123,cztocbHiiqQ,2013-03-04T13:02:57Z
124,GzbKb59my3U,2013-03-13T14:01:06Z
125,ZMByI4s-D-Y,2013-03-25T13:01:15Z
126,xmYss_hNF4Q,2013-04-11T14:00:10Z
127,Hx9TwM4Pmhc,2013-04-25T14:00:46Z
128,J3xLuZNKhlY,2013-04-30T14:30:14Z
129,Ztc6QPNUqls,2013-05-09T03:31:12Z
130,ro2MmmdARrs,2013-05-28T19:25:37Z
131,5JGSqG8OLjE,2013-06-03T18:00:17Z
132,g_IaVepNDT4,2013-06-17T15:01:01Z
133,bKldI-XGHIw,2013-06-24T16:01:38Z
134,IcrBqCFLHIY,2013-07-09T20:13:12Z
135,zNzzGgr2mhk,2013-07-23T15:16:32Z
136,sWu9CyDwuFs,2013-08-06T06:16:14Z
137,vWVZ6APXM4w,2013-08-20T13:00:36Z
138,BLYoyLcdGPc,2013-08-30T15:09:15Z
139,1TKSfAkWWN0,2013-09-23T13:51:09Z
140,F69uqDIhr60,2013-10-17T16:00:08Z
141,_xU3IRbCbyQ,2013-11-06T20:31:23Z
142,1tSqSMOyNFE,2013-11-23T15:00:05Z
143,N8HrMZB6_dU,2013-11-29T04:08:25Z
144,akIBlq5xAec,2013-12-21T00:33:25Z
145,EPsG8td7C5k,2014-01-23T15:30:01Z
146,oVfHeWTKjag,2014-02-10T14:30:02Z
147,mXVGIb3bzHI,2014-02-18T14:30:03Z
148,vKA4w2O61Xo,2014-02-24T14:30:02Z
149,GeyDf4ooPdo,2014-03-17T13:30:03Z
150,tLMpdBjA2SU,2014-03-19T19:53:37Z
151,-zShHRkwSoI,2014-04-02T15:00:05Z
152,2awbKQ2DLRE,2014-04-17T15:00:05Z
153,C_covjcIcZ4,2014-05-05T14:30:02Z
154,XBr4GkRnY04,2014-05-27T15:00:07Z
155,BD6h-wDj7bw,2014-06-04T15:00:07Z
156,zUDqI9PJpc8,2014-07-03T14:30:02Z
157,sMb00lz-IfE,2014-07-16T16:34:03Z
158,1Xp_imnO6WE,2014-08-06T06:46:32Z
159,jIMihpDmBpY,2014-08-13T14:30:04Z
160,eNx9tvCrvv8,2014-08-29T22:47:26Z
161,OWXoRSIxyIU,2014-09-22T17:36:43Z
162,Rwa26CXG1fc,2014-10-23T00:05:36Z
163,rv4MjaF_wow,2014-10-23T14:30:04Z
164,lotbZQ55SgU,2014-11-05T15:00:05Z
165,GEmuEWjHr5c,2014-12-01T15:30:03Z
166,TRL7o2kPqw0,2014-12-17T16:49:43Z
167,vBX-KulgJ1o,2015-01-05T16:00:07Z
168,ZuvK-od647c,2015-01-12T16:00:26Z
169,wU5XkhUGzBs,2015-02-03T16:53:50Z
170,6YOz9Pxnzho,2015-02-09T16:33:14Z
171,AcLh-aSUdx0,2015-02-26T16:00:01Z
172,SQggDnScsvI,2015-03-11T14:30:00Z
173,QD3hbVG1yxM,2015-04-13T14:00:00Z
174,stRPiifxQnM,2015-04-17T14:28:55Z
175,YMPzDiraNnA,2015-04-27T16:38:02Z
176,IJ6GfBOYeLc,2015-05-11T16:37:17Z
177,5RLQ9WMP2Es,2015-05-28T15:00:01Z
178,ihv4f7VMeJw,2015-06-03T15:00:04Z
179,cO57Zm-WNmg,2015-06-17T15:00:02Z
180,9DWnjcSo9J0,2015-06-29T15:00:00Z
181,-OqrZG-EBaQ,2015-07-06T15:00:00Z
182,2OSrvzNW9FE,2015-07-15T15:00:01Z
183,knDIENvBTgw,2015-07-27T15:00:02Z
184,mUxt--mMjwA,2015-07-30T15:00:00Z
185,EKR-HydGohQ,2015-08-18T14:00:01Z
186,TcxZSmzPw8k,2015-08-26T00:39:36Z
187,c6wuh0NRG1s,2015-09-30T20:30:01Z
188,y9c8oZ49pFc,2015-10-14T19:00:01Z
189,He30D8M5fNc,2015-11-11T17:30:01Z
190,_dDqFB-PjWg,2015-11-25T15:00:01Z
191,aIx2N-viNwY,2016-02-10T15:03:52Z
192,K4vyRvMASPU,2016-02-23T16:00:01Z
193,CNQf9vZqv7k,2016-03-15T14:30:00Z
194,s7MTM4BKZ_E,2016-03-23T14:30:01Z
195,S20-1_XqVPM,2016-03-30T14:30:01Z
196,5NhIRwCq428,2016-04-13T17:29:44Z
197,2_OEsf-1qgY,2016-05-04T14:00:01Z
198,rjht4oAByCI,2016-06-14T14:00:04Z
199,-i0InwW0V9k,2016-06-28T14:00:00Z
200,cebFWOlx848,2016-07-21T14:00:03Z
201,42QuXLucH3Q,2016-08-11T14:00:01Z
202,g20JZ2HNZaw,2016-09-08T14:00:02Z
203,3LyFap2aUN0,2016-10-03T14:00:00Z
204,Y2nQ8isf55s,2016-10-26T14:30:00Z
205,WIyTZDHuarQ,2016-11-02T15:00:02Z
206,LgrXd0NM2y8,2016-11-28T15:32:12Z
207,DWkYRh6OXy8,2016-12-05T14:38:19Z
208,dvk2PQNcg8w,2016-12-20T16:58:23Z
209,iphcyNWFD10,2017-01-05T15:00:03Z
210,WBjY3QGNdAw,2017-01-19T17:05:36Z
211,pCON4zfMzjU,2017-01-30T16:00:06Z
212,hbXDLKFkjm0,2017-02-08T14:30:01Z
213,UBVV8pch1dM,2017-03-02T15:30:01Z
214,mXaad0rsV38,2017-03-20T12:30:02Z
215,R13BD8qKeTg,2017-04-05T14:00:03Z
216,HgCXdNhVC1Q,2017-04-12T14:00:02Z
217,72DCj3BztG4,2017-04-18T13:30:00Z
218,e69XZJ9DEj0,2017-04-27T20:11:26Z
219,xdJwG_9kF8s,2017-05-03T15:00:04Z
220,SmSJXC6_qQ8,2017-05-10T14:00:04Z
221,iZCRFRgSgas,2017-05-18T14:00:06Z
222,_k9egfWvb7Y,2017-05-24T14:00:04Z
223,NVKO7UCIlgs,2017-06-01T15:00:01Z
