,id,date
111,lrS0rxX-UhA,2017-06-07T21:38:13Z
112,hYkaahzFWfo,2017-06-21T17:51:02Z
113,ATcrrzJFtBY,2017-06-28T21:13:58Z
114,vSFRN-ymfgE,2017-07-07T16:45:39Z
115,oQ1WZ-eJW8Y,2017-07-12T22:10:46Z
116,Q8shnjlGwmg,2017-07-20T00:58:25Z
117,fG52mXN-uWI,2017-07-27T00:53:26Z
118,xgdNBQCdhdA,2017-08-02T22:19:57Z
119,9dqtW9MslFk,2017-08-10T19:32:34Z
120,OjFKcGHfVag,2017-08-16T22:07:37Z
121,OfOuBx6XW3Q,2017-08-24T17:09:25Z
122,S4aqGI1mSqo,2017-08-30T16:43:17Z
123,kL81uuYW9BY,2017-09-13T21:26:18Z
124,BIASPc89Sgk,2017-09-20T21:29:21Z
125,YJzoelANL_Y,2017-09-28T14:22:29Z
126,gtZ7OVoI2nc,2017-10-05T00:48:19Z
127,OvgZqGxF3eo,2017-10-11T22:31:50Z
128,X5rAGfjPSWE,2017-10-19T21:55:43Z
129,RchRrngfjQY,2017-10-25T21:28:00Z
130,n6jAOV7bZ3Y,2017-11-03T00:42:32Z
131,Rh898Yr5YZ8,2017-11-08T19:18:43Z
132,_x2nL6ukJDg,2017-11-22T19:52:53Z
133,tFB8MsizvBc,2017-11-29T19:41:03Z
134,izqaWyZsEtY,2017-12-06T22:30:58Z
135,nYGs92-qnFY,2017-12-13T20:57:04Z
136,8HvwNOSnveE,2017-12-20T21:50:04Z
137,TmD27cUuylw,2017-12-22T14:24:08Z
138,TbWyuJYybMA,2018-01-10T21:43:31Z
139,bG-xu5H6plk,2018-01-17T16:18:23Z
140,wwGeCfWc100,2018-01-24T16:27:43Z
141,9-SxVSpSoek,2018-01-31T18:31:24Z
142,PUn2izowBkw,2018-02-14T19:21:57Z
143,iJY3y5_k0do,2018-02-21T21:23:56Z
144,G7UOFZBEA_g,2018-02-28T20:55:24Z
145,wJ7d503fN-g,2018-03-07T21:17:00Z
146,qPKj0YnKANw,2018-03-15T21:45:44Z
147,-R9F2_D76TE,2018-03-22T00:34:42Z
148,_P1xKh_kZFU,2018-03-28T23:02:52Z
149,7cj6oiFDEXc,2018-04-04T19:20:09Z
150,GcfLZSL7YGw,2018-04-11T20:11:45Z
151,xnwXyPU_ps0,2018-04-18T18:00:10Z
152,UVhtKAnp3G4,2018-04-25T18:15:00Z
153,-iWGtQ03OZM,2018-05-02T18:00:00Z
154,Jdy09y0A4t0,2018-05-09T18:00:00Z
155,04ERSb06dOg,2018-05-16T18:00:00Z
156,HF-9Dy6iB_4,2018-05-23T19:00:02Z
157,GscfuQWZFAo,2018-06-13T19:00:04Z
158,9XkHBmE-N34,2018-06-20T20:00:01Z
159,TF6GRPaeLbk,2018-06-27T19:20:02Z
160,0mXW1zPlxEE,2018-07-04T19:00:00Z
161,V5kgruUjVBs,2018-07-11T21:09:40Z
162,kfffy12uQ7g,2018-07-18T19:00:11Z
163,KR23aMjIHIY,2018-07-25T20:18:20Z
164,cOzaGEAGzzA,2018-08-01T19:00:03Z
165,7UwigY4SjKY,2018-08-15T19:00:00Z
166,Qg4vb-KH5F4,2018-08-23T17:00:07Z
167,VmEY6T5Wc-Q,2018-08-30T18:21:45Z
168,Ab8JIzckx_M,2018-09-05T20:56:49Z
169,XxVlGAFX7vA,2018-09-12T21:14:32Z
170,YNEBhwimJWs,2018-09-20T20:00:00Z
171,3HYw6vPR9qU,2018-10-03T19:36:01Z
172,0GLgZvTCbaA,2018-10-10T18:45:01Z
173,k6TWO-ESC6A,2018-10-18T18:00:03Z
174,uhJ9lJPt09k,2018-10-25T18:00:09Z
175,ztFovwCaOik,2018-10-31T20:52:54Z
176,iTTa9YcTe1k,2018-11-07T21:19:14Z
177,5ESFGYkkbEI,2018-11-14T20:00:00Z
178,wICOlaQOpM0,2018-11-21T18:24:31Z
179,REl20rlZGTw,2018-12-06T22:44:13Z
180,UyTqgnKD3sw,2018-12-12T21:56:50Z
181,IhpGdumLRqs,2018-12-20T18:58:21Z
182,miGddxrvmDU,2019-01-09T22:00:29Z
183,L2idut9tkeQ,2019-01-16T21:37:59Z
184,72cM_E6bsOs,2019-01-24T21:24:36Z
185,10AP7tio408,2019-01-30T20:30:00Z
186,PPpUxoeooZk,2019-02-07T21:28:08Z
187,C4CKtEQJGMY,2019-02-20T21:00:03Z
188,rckrnYw5sOA,2019-03-06T21:00:03Z
189,dWk9d_YCQOk,2019-03-13T19:00:03Z
190,tAtVgHvt05M,2019-03-20T20:15:00Z
191,gEyXTQ9do-c,2019-03-28T19:15:01Z
192,tJevBNQsKtU,2019-04-03T20:41:11Z
193,klpDHn8viX8,2019-04-10T18:45:00Z
194,5t0jaE--l0Y,2019-04-24T20:56:07Z
195,GOhOlLa4teg,2019-05-01T19:43:44Z
196,pi7YwxxZQ5A,2019-05-09T18:15:02Z
197,k6BL1GOXgp8,2019-05-16T21:20:24Z
198,MmgMboWunkI,2019-06-06T18:31:12Z
199,FocZf26yTU0,2019-06-17T18:27:34Z
200,cqCPnXHKO5c,2019-06-20T17:00:05Z
201,ElulEJruhRQ,2019-07-01T18:00:01Z
202,_N-2Sx-FDQA,2019-07-15T17:45:00Z
203,K8gV05nS7mc,2019-07-18T18:45:01Z
204,E8rel2-kLJA,2019-07-25T19:15:00Z
205,xJCX2NlhdTc,2019-08-06T19:20:51Z
206,-5j98wi_M2w,2019-08-12T20:00:00Z
207,chsLw2siRW0,2019-08-19T18:45:02Z
208,n8cEZM1lN5g,2019-08-26T18:45:00Z
209,51usJ74pPP8,2019-09-03T18:45:00Z
210,FshtPsOTCP4,2019-09-16T18:45:01Z
211,CzJIWxplAbQ,2019-09-23T18:45:00Z
212,XglOw2_lozc,2019-09-30T18:15:00Z
213,fKgQYOlpxmo,2019-10-07T18:45:00Z
214,L2suMPiuog4,2019-10-15T18:45:00Z
215,pGnMiGrYmPE,2019-10-21T18:45:00Z
216,8wa1l7M5gU8,2019-11-04T19:45:00Z
217,YmOVoIpaPrc,2019-11-11T19:45:00Z
218,q-6oU3jXAho,2019-11-18T19:45:00Z
219,F2s7vyKucis,2019-12-02T19:45:00Z
220,dSvgw9ZOK3I,2019-12-09T17:45:01Z
221,rFgpKlcpzNM,2019-12-17T19:15:00Z
222,zw2TYNY3F8U,2020-01-06T19:45:01Z
223,T2pImihwFHg,2020-01-13T19:45:00Z
224,et7XvBenEo8,2020-01-20T19:45:01Z
225,GWFJteC7kIk,2020-01-27T21:01:08Z
226,qT110-Q8PJI,2020-02-03T19:15:01Z
227,e7yXqF32Yvw,2020-02-11T19:51:38Z
228,CT7SiRiqK-Q,2020-02-18T21:45:39Z
229,GlOwJWJWPUs,2020-02-24T19:45:01Z
230,QTZZUjnrbF8,2020-03-03T20:23:24Z
231,vSnq5Hs3_wI,2020-03-16T18:45:02Z
232,UjgGdGzDFiM,2020-03-24T18:15:00Z
233,T4oYvSH6jJ8,2020-03-31T18:18:15Z
234,vAgiHreswj0,2020-04-07T18:02:20Z
235,t8o5W425uhw,2020-04-14T18:39:07Z
236,ldVDM-v5uz0,2020-04-22T17:15:00Z
237,9xIn1Ti7bz0,2020-04-28T22:36:22Z
238,Y6Vhh70Lw9w,2020-05-04T18:16:42Z
